GRBID	Fbest	F_min	F_max	T_abest	T_amin	T_amax	Alpha_best	Alpha_min	Alpha_max	Photonindex_plateau	Photonerror_min	Photon_errormax	Tt	Tfinal	Redshift	PeakFlux	PeakFluxErr	PhinPrompt	PhinPromptErr	Epeak	Epeakerr	T90	T90Err	Fluence	FluenceErr	PeakFlux	PeakErr	Gamma	NH	Beta	IndexErr
70802	-11.672	-11.8459	-11.498	3.92184	3.6856	4.15809	1.16348	0.954603	1.37236	1.78	0.33	0.24	2.5	5.5	2.45	2.31E-08	6.90E-09	-2.48E+00	0.676054545	0.00E+00	0.00E+00	16.4	 2.500653e+00 	0.00000028	0.5	2.31E-08	0.1	1.99014	8.2E+21	0.78	0.27
70809	-11.9611	-12.1528	-11.7694	4.18985	3.98287	4.39684	1.17521	0.779564	1.57085	1.396	0.218	0.099	2.4	5	0.2187	9.07E-08	7.62E-09	-1.54E+00	0.123436364	0.00E+00	0.00E+00	1.3	 3.731809e-01 	0.0000001	0.1	9.07E-08	0.2	1.37246	6.4E+20	0.396	0.22
070810A	-10.7777	-10.8395	-10.716	3.36583	3.29396	3.4377	1.36994	1.29203	1.44786	2.02	0.34	0.32	2	5	2.17	1.25E-07	9.47E-09	-1.81E+00	0.114027273	0.00E+00	0.00E+00	11	 2.682462e+00 	0.00000069	0.6	0.000000125	0.2	2.17076	8.53E+21	1.02	0.14
80310	-11.39909559	-11.44156902	-11.35662216	4.326080559	4.2880938	4.364067319	1.595906475	1.530630124	1.661182827	1.878	0.139	0.064	3	6	2.4266	7.52E-08	8.93E-09	-7.18E-01	0.813071212	0.00E+00	0.00E+00	365	 1.690135e+01 	0.0000023	2	7.52E-08	0.2	2.09352	36427300000	0.878	0.16
080319B	-12.15166808	-12.24944753	-12.05388862	5.367999124	5.28037267	5.455625577	1.422509787	1.347369882	1.497649692	1.73	0.19	0.19	4.8	6.5	0.937	2.37E-06	2.63E-08	-9.89E-01	0.020663636	0.00E+00	0.00E+00	50	 3.095269e+00 	0.000081	10	0.00000237	0.5	1.81426	7.54E+20	0.73	0.02
080319C	-8.91652	-8.96407	-8.86399	3.19029	3.15122	3.24548	1.45203	1.4267	1.48378	2.94	2.350765833	1.950775487	1.4	6	1.95	4.65E-07	1.98E-08	-1.07E+00	0.065181818	0.00E+00	0.00E+00	34	 9.414571e+00 	0.0000036	1	0.000000465	0.3	1.61029	5.63E+21	1.94	0.07
80411	-10.11356029	-10.17399572	-10.05312486	4.209325619	4.160050039	4.2586012	1.28909841	1.278801617	1.299395203	1.91	0.13	0.13	3.8	6.5	1.03	3.04E-06	2.93E-08	-1.53E+00	0.017987879	0.00E+00	0.00E+00	56	 9.227524e-01 	0.0000264	1	0.00000304	0.9	1.97674	3.74E+21	0.91	0.03
80430	-11.17223461	-11.20041558	-11.14405365	4.217629106	4.179240584	4.256017629	0.992697628	0.971762559	1.013632697	4.18	1.801	1.65	2.5	6.5	0.767	1.82E-07	8.08E-09	-1.75E+00	0.072306061	0.00E+00	0.00E+00	16.2	 1.899732e+00 	0.0000012	1	0.000000182	0.2	2.03541	3.3E+21	3.18	0.09
80516	-11.12117508	-11.19897875	-11.04337142	3.774528265	3.66347057	3.885585961	0.940169156	0.855280798	1.025057514	2.48	0.6	0.54	2.8	5	3.2	1.22E-07	1.40E-08	-2.68E-01	0.763430303	0.00E+00	0.00E+00	5.8	 2.232129e-01 	0.00000026	0.4	0.000000122	0.3	2.3315	1.08E+22	1.48	0.27
80607	-10.05407183	-10.16449255	-9.94365111	3.462984031	3.393324717	3.532643345	1.725607399	1.687970012	1.763244787	2.06	0.49	0.45	3	6	3.036	2.37E-06	7.23E-08	-8.05E-01	0.047562424	0.00E+00	0.00E+00	79	 3.041697e+00 	0.000024	0.0	0.00000237	1.1	2.03418	2.42E+22	1.06	0.04
80710	-11.2325386	-11.29523358	-11.16984362	4.09266933	4.038458543	4.146880117	1.521337846	1.457321415	1.585354276	2.3	0.952955928	0.651920241	2	6	0.845	6.05E-08	9.63E-09	-1.84E+00	0.223709091	0.00E+00	0.00E+00	120	 2.514022e+01 	0.0000014	2	6.05E-08	0.2	2.00149	7.89E+20	1.3	0.23
80721	-8.713485538	-8.720504837	-8.70646624	2.87876286	2.871208044	2.886317675	1.334375589	1.327939916	1.340811262	1.735	0.018	0.018	2	6.1	2.6	1.93E-06	1.03E-07	-9.95E-01	0.088898485	0.00E+00	0.00E+00	16.2	 1.144703e+02 	0.000012	10	0.00000193	1.8	1.9433	6.27E+21	0.735	0.08
80810	-9.931925517	-9.963756223	-9.900094811	3.268754796	3.229016108	3.308493483	1.445295258	1.409155963	1.481434553	2.079	0.079	0.076	2.4	6	3.35	1.69E-07	1.08E-08	-1.24E+00	0.103081818	0.00E+00	0.00E+00	106	 3.471544e+00 	0.0000046	2	0.000000169	0.2	2.11482	2.82E+21	1.079	0.06
080905B	-10.11185797	-10.14422254	-10.0794934	3.678206148	3.63938066	3.717031637	1.369462258	1.336160506	1.402764009	1.375	0.165604952	0.154434452	2.2	6	2.374	1.26E-07	1.30E-08	-1.44E+00	0.176021212	0.00E+00	0.00E+00	128	 2.805833e+01 	0.0000018	2	0.000000126	0.1	1.86248	2.16E+22	0.375	0.15
80928	-11.12613293	-11.19061697	-11.0616489	4.084505029	4.036588261	4.132421798	1.760317743	1.684347008	1.836288478	1.99	0.11	0.11	3	5.5	1.69	1.58E-07	7.72E-09	-1.50E+00	0.075193939	0.00E+00	0.00E+00	280	 2.080139e+01 	0.0000025	2	0.000000158	0.1	2.13864	3.24E+21	0.99	0.12
81007	-10.58510158	-10.6382627	-10.53194047	3.58176278	3.497478382	3.666047178	1.00469263	0.965557779	1.043827481	1.92	0.18	0.17	2.4	6.1	0.5295	1.63E-07	1.43E-08	-2.20E+00	0.153509091	0.00E+00	0.00E+00	10	 4.874095e+00 	0.00000071	0.8	0.000000163	0.4	2.102	4.97E+21	0.92	0.20
81008	-10.79325557	-10.85378546	-10.73272568	3.855508334	3.79922265	3.911794018	1.473984673	1.409995994	1.537973352	1.84	0.18	0.13	3	6	1.967	1.05E-07	8.13E-09	-1.34E+00	0.12310303	0.00E+00	0.00E+00	185.5	 3.822846e+01 	0.0000043	2	0.000000105	0.1	1.98207	1.37E+21	0.84	0.07
81029	-11.86226923	-11.94552003	-11.77901842	4.481561711	4.438708301	4.52441512	2.519603733	2.350405212	2.688802254	1.87	0.094	0.092	2.5	6	3.847	3.06E-08	8.11E-09	-1.74E+00	0.4072	0.00E+00	0.00E+00	270	 4.895488e+01 	0.0000021	2	3.06E-08	0.2	1.95818	3.14E+21	0.87	0.18
81221	-9.354590372	-9.379575872	-9.329604872	2.931957486	2.900780835	2.963134137	1.235861256	1.222999399	1.248723112	1.991	0.056	0.055	2.4	6	2.26	1.47E-06	2.46E-08	-7.87E-01	0.109054545	0.00E+00	0.00E+00	34	 9.216507e-01 	0.0000181	3	0.00000147	0.5	2.4947	3.74E+21	0.991	0.13
81230	-11.3297064	-11.3998508	-11.259562	3.669593645	3.582243375	3.756943914	0.993764978	0.95338356	1.034146396	2.02	0.42	0.38	2.5	6	2.1	5.53E-08	6.45E-09	-1.43E+00	0.175448485	0.00E+00	0.00E+00	60.7	 1.342613e+01 	0.00000082	0.8	5.53E-08	0.1	2.08621	4.7E+20	1.02	0.16
90102	-9.456627445	-9.492867428	-9.420387462	3.153800766	3.11221042	3.195391111	1.424876309	1.403089714	1.446662905	1.667	0.108061325	0.10271441	2	6	1.55	5.38E-07	4.95E-08	-9.14E-01	0.141836364	0.00E+00	0.00E+00	27	 2.345679e+00 	0.000000068	0.03	0.000000538	0.8	1.76997	5.29E+21	0.667	0.08
90205	-11.3423	-11.4754	-11.2065	3.70655	3.61227	3.84144	1.29089	1.20754	1.37591	2.01	0.24	0.19	2.6	6	4.7	2.97E-08	5.56E-09	-1.98E+00	0.277175758	0.00E+00	0.00E+00	8.8	 1.779457e+00 	0.00000019	0.3	2.97E-08	0.1	2.03416	6.58E+21	1.01	0.23
090418A	-10.04734554	-10.07600494	-10.01868613	3.528136567	3.497377547	3.558895588	1.529096669	1.486942155	1.571251182	1.98	0.148660687	0.141598023	2.1	5.6	1.608	1.58E-07	1.66E-08	-1.29E+00	0.167690909	0.00E+00	0.00E+00	56	 4.061271e+00 	0.0000046	2	0.000000158	0.3	2.03408	1.06E+22	0.98	0.07
90424	-9.050589497	-9.061846595	-9.039332398	2.995990561	2.982595747	3.009385375	1.128410598	1.122863712	1.133957485	1.924	0.039	0.039	2.3	6.5	0.544	5.81E-06	1.01E-07	-9.84E-01	0.11369	0.00E+00	0.00E+00	48	 2.268596e+00 	0.000021	0.0	0.00000581	2.0	1.96315	4.27E+21	0.924	0.15
90510	-10.11471036	-10.15694036	-10.07248037	3.17793555	3.142933083	3.212938016	2.00074629	1.929305882	2.072186698	1.6405	0.095185346	0.078212851	2	5	0.903	4.31E-07	3.22E-08	-8.95E-01	0.125966364	0.00E+00	0.00E+00	0.3	 1.876371e+00 	0.00000034	0.4	0.000000431	1.1	1.75106	4.39E+20	0.6405	0.20
090516A	-11.27458086	-11.31237691	-11.23678481	4.33113504	4.301419725	4.360850355	1.760983139	1.70763155	1.814334727	1.502	1.32073313	0.362558961	3	6	4.1	1.42E-07	2.93E-08	2.83E+00	3.059932424	0.00E+00	0.00E+00	210	 4.125514e+01 	0.000009	6	0.000000142	0.2	2.09	1.57E+21	0.502	0.11
90530	-11.16037428	-11.2495499	-11.07119865	3.683946399	3.56858137	3.799311427	0.886105811	0.847591609	0.924620012	2.09	0.63	0.56	2.7	6	1.266	2.66E-07	1.53E-08	-1.29E+00	0.086672727	0.00E+00	0.00E+00	48	 7.867540e+00 	0.0000011	1	0.000000266	0.3	2.03975	8.12E+20	1.09	0.17
90618	-9.639275838	-9.648971093	-9.629580584	3.672754528	3.658508915	3.68700014	1.309428612	1.298836996	1.320020228	1.8945	0.12583819	0.120872867	2.8	6	0.54	3.13E-06	3.53E-08	-1.36E+00	0.020712121	0.00E+00	0.00E+00	113.2	 5.803447e-01 	0.000105	10	0.00000313	0.8	1.82831	2.47E+21	0.8945	0.08
90927	-11.67225839	-11.74852686	-11.59598991	4.201218887	4.107976938	4.294460836	1.130877409	1.056033438	1.20572138	1.92	0.21	0.19	3	6	1.37	1.18E-07	1.23E-08	-6.70E-01	0.618722121	0.00E+00	0.00E+00	2.2	 4.008989e-01 	0.0000002	0.3	0.000000118	0.2	2.06549	1.04E+21	0.92	0.20
91018	-9.626765539	-9.651054142	-9.602476935	2.896555345	2.862057467	2.931053222	1.180748671	1.164413557	1.197083785	1.91	0.108166538	0.10404326	1.9	6	0.971	5.91E-07	1.22E-08	-2.19E+00	0.038245455	0.00E+00	0.00E+00	4.4	 5.971265e-01 	0.0000014	1	0.000000591	0.4	1.98015	1.56E+21	0.91	0.24
91020	-9.71287528	-9.747355967	-9.678394593	2.952650108	2.907378853	2.997921363	1.174172639	1.155927778	1.1924175	1.895	0.125299641	0.120933866	2.4	6	1.71	3.64E-07	1.71E-08	-1.18E+00	0.07539697	0.00E+00	0.00E+00	34.6	 4.888576e+00 	0.0000037	1	0.000000364	0.3	2.08587	5.08E+21	0.895	0.07
91029	-11.34682089	-11.37245441	-11.32118737	4.303689975	4.269465973	4.337913978	1.121233681	1.094451657	1.148015706	2.064	0.1	0.096	2.8	6.3	2.752	1.09E-07	7.86E-09	-9.26E-01	0.393725758	0.00E+00	0.00E+00	39.2	 4.860979e+00 	0.0000024	1	0.000000109	0.1	2.11535	2.82E+21	1.064	0.27
