,Fbest,T_abest,Alpha_best,Photonindex_plateau,Beta,Gamma,log10PeakFlux,log10Epeak,log10T90,log10Fluence,log10NH,log10z
133,-11.3095,4.29222,1.22723,1.57,0.57,1.63218,-6.818156412055227,-inf,-0.5228787452803376,-6.853871964321762,21.079181246047625,-0.4546928835341759
134,-10.6117,3.30337,1.54959,2.08,1.08,1.79496,-6.366531544420414,-inf,0.5932860670204572,-6.173925197299173,21.496929648073216,-0.24412514432750865
135,-12.6568,5.76634,2.33322,1.82,0.82,1.93447,-7.238824186844268,-inf,2.7402837196818792,-5.275724130399211,21.595496221825574,0.16731733474817606
136,-10.791,3.39431,1.17705,1.92,0.92,2.01678,-7.113509274827518,-inf,1.3856062735983121,-6.267606240177032,21.526339277389845,-0.3372421683184259
137,-9.97065,3.85419,2.03808,1.6645,0.6645,1.78547,-7.08196966321512,-inf,2.0499928569201424,-5.318758762624412,20.842609239610564,0.13353890837021754
138,-11.5208,3.69323,0.897942,2.24,1.24,2.12551,-6.987162775294828,-inf,0.6989700043360189,-6.494850021680094,21.986323777050764,0.06707085604537018
139,-11.6171,4.43227,1.1526,2.24,1.24,2.17922,-6.924453038607469,-inf,1.2860071220794747,-6.026872146400302,21.01703333929878,0.6127838567197355
142,-10.9957,4.47751,1.10229,1.679,0.679,1.72551,-7.311580177997289,-inf,2.500373714353374,-5.508638306165727,21.41995574848976,0.37657695705651195
143,-11.2238,3.76407,1.49693,1.78,0.78,1.93554,-6.903089986991944,-inf,1.4471580313422192,-5.853871964321762,20.72672720902657,0.69810054562339
144,-11.5213,4.38419,0.948229,1.92,0.92,1.87827,-6.696803942579511,-inf,2.15896526038341,-4.943095148663527,21.30319605742049,-0.13312218566250114
145,-11.8136,4.69106,0.883711,1.84,0.84,2.00325,-7.515700160653214,-inf,2.021602716028242,-5.958607314841775,21.161368002234976,0.064083435963596
146,-10.7485,4.08464,1.141,2.375,1.375,1.92624,-6.337242168318426,-inf,2.0993352776859577,-4.698970004336019,21.877371345869776,0.19005141775920598
147,-10.4365,3.70506,2.32574,1.71,0.71,1.74506,-6.536107011014093,-inf,1.5505952074893279,-5.443697499232713,21.51321760006794,-0.1904402853647322
148,-10.1364,4.0135,0.871656,1.73,0.73,1.86204,-6.450996737974212,-inf,0.8413594704548549,-5.823908740944319,21.167317334748176,-0.8312079796858183
149,-10.6535,3.77629,1.1958,2.04,1.04,1.99768,-6.406713932979542,-inf,1.6646419755561255,-5.481486060122113,21.715167357848458,0.5616975326539935
150,-11.0633,4.1513,1.37345,1.975,0.975,1.97351,-7.266000713461613,-inf,2.3352572564345317,-5.958607314841775,21.340444114840118,-0.08724669632867703
152,-10.1867,3.63746,0.774169,1.66,0.66,1.89159,-5.94692155651658,-inf,2.3370597263205246,-5.022276394711152,21.089905111439396,0.30319605742048883
153,-11.2604,4.41384,0.971187,2.14,1.14,2.20256,-6.59176003468815,-inf,1.4653828514484184,-5.619788758288394,21.739572344450092,-0.05256627811294924
156,-10.3067,3.21372,1.09633,2.03,1.03,1.88733,-6.651695136951839,-inf,1.1903316981702914,-6.0,21.492760389026838,0.14891099310935643
157,-11.1493,4.02296,1.50063,1.77,0.77,1.86768,-7.041436116778033,-inf,2.322219294733919,-5.481486060122113,21.41995574848976,0.3005954838899635
159,-10.9823,4.6659,1.09835,1.9,0.9,1.99236,-6.482804102050026,-inf,2.2984163800612945,-5.0,21.217483944213907,0.048247531803974064
160,-9.42335,3.8695,1.1986,1.8595,0.8595,1.70111,-5.070070439915412,-inf,0.9385197251764918,-4.528708288941061,21.58771096501891,-0.9318141382538383
161,-9.92652,3.15711,1.07011,2.115,1.115,1.76613,-6.903089986991944,-inf,1.1921212221317048,-6.161150909262744,22.27875360095283,0.14301480025409505
162,-10.4242,4.29043,2.64643,2.228,1.228,1.93674,-6.119186407719209,-inf,2.37660615234286,-5.0915149811213505,20.657055852857106,0.4680517914542377
165,-10.7527,3.74534,1.18375,1.86,0.86,1.83,-7.3851027839668655,-inf,1.823474229170301,-6.096910013008056,21.64443858946784,0.5276299008713387
166,-11.3984,4.71457,1.55937,1.964,0.964,1.95997,-7.229884705212898,-inf,0.20411998265592482,-7.00436480540245,21.257678574869185,0.288249225571986
167,-9.4772,2.52429,1.22035,2.064,1.064,2.2119,-6.2335871528876,-inf,0.6532125137753437,-5.790484985457369,21.44870631990508,0.34202768808747175
