Index,X.name,z,Flux1.100m,Energy_Flux100,Significance,Variability_Index,Frac_Variability,Highest_Energy,nu,nufnu,PL_Index,Pivot_Energy,LP_Index,LP_beta,Gaia_G_Magnitude,Label
1019,4FGL J0749.7+7450,0.607,1.80E-10,2.26E-12,8.597661,13.666575,0.41909847,24.6653,8.32E+14,8.47E-13,2.0948987,3233.0693,2.1633267,-0.059607647,18.3995,bll
1020,4FGL J0749.9+1823,1.161,2.27E-10,3.90E-12,5.7736,23.382175,0.7924855,NA,4.17E+12,3.38E-12,2.5219543,747.5367,2.4689186,0.06078498,19.5076,fsrq
1021,4FGL J0750.8+1229,0.889,6.18E-10,1.02E-11,19.995253,155.3573,0.82558006,33.5313,NA,NA,2.5166676,828.25824,2.5059183,0.07537219,17.4062,fsrq
1022,4FGL J0751.0+7908,NA,6.32E-10,3.89E-12,24.491035,129.52296,0.78331435,NA,6.76E+12,1.64E-12,2.228393,1118.7341,1.9723682,0.20556004,18.5842,bcu
1023,4FGL J0751.0-5131,NA,1.31E-09,6.06E-12,26.6589,676.8345,1.4916644,12.2585,NA,NA,2.4294019,806.32715,2.303602,0.1597312,NA,bcu
1024,4FGL J0751.4-0421,NA,2.62E-10,3.23E-12,8.802827,3.5889668,0,NA,2.95E+13,7.18E-13,2.0599587,2578.755,1.7630382,0.2721424,NA,bcu
1025,4FGL J0751.4+2655,0.333965,1.13E-10,1.39E-12,4.7147965,19.457815,0.52881455,NA,2.88E+13,3.83E-13,2.0906136,2459.5708,1.9105607,0.42978963,19.5155,bcu
1026,4FGL J0752.2+3313,1.935716,1.22E-09,3.29E-12,38.64666,2114.8235,1.8258497,32.438,NA,NA,2.4339397,514.9311,2.3090603,0.11910153,19.173,fsrq
1027,4FGL J0753.0+5353,0.2,1.19E-09,1.32E-11,40.397827,14.578031,0.09534583,107.789,3.63E+12,1.26E-12,2.1403651,1372.7645,2.0950644,0.048964236,18.1578,bll
1028,4FGL J0753.9+0923,NA,2.76E-10,1.32E-11,8.40205,45.918064,0.9044568,NA,4.79E+12,4.16E-13,2.386605,1319.5027,2.4642303,0.32399255,NA,bcu
1029,4FGL J0754.0+0451,NA,2.76E-10,3.20E-12,11.659554,16.281885,0.45230764,24.5259,NA,NA,1.9444935,2857.7717,1.7599858,0.18498568,NA,bcu
